cat_init	nom complet	total	new_cat								
0.chim	Chimie	3381	0.chim	0.chim	3381	1.chim.cata(872)	1.chim.mate(862)	0.sde(297)	1.chim.anal(283)	1.chim.theo(248)	1.sde.es(247)
0.info	Informatique [cs]	26441	0.info	0.info	26441	1.info.info-ai(2319)	0.spi(2130)	0.shs(1943)	1.info.info-ts(1842)	1.spi.signal(1626)	1.info.info-mo(1406)
0.math	Mathématiques [math]	4133	0.math	0.math	4133	1.math.math-st(879)	1.math.math-ho(571)	0.shs(569)	0.stat(568)	0.info(529)	1.stat.th(525)
0.nlin	Science non linéaire [physics]	62	0.phys	0.nlin	62	1.nlin.nlin-cd(26)	0.spi(23)	0.phys(14)	1.nlin.nlin-ps(11)	0.info(10)	1.spi.meca(10)
0.phys	Physique [physics]	24248	0.phys	0.phys	24248	1.phys.hist(15816)	1.phys.meca(4467)	0.spi(3669)	1.spi.meca(2403)	1.phys.phys(1943)	1.phys.cond(871)
0.phys-atom	??	2	0.phys	0.phys-atom	2	1.phys-atom.oq(1)	1.phys-atom.laser(1)				
0.qfin	économie et finance quantitative [q-fin]	519	0.qfin	0.qfin	519	1.qfin.gn(147)	0.shs(96)	1.qfin.rm(54)	1.shs.gestion(29)	0.info(24)	1.shs.eco(24)
0.scco	Sciences cognitives	4988	0.scco	0.scco	4988	1.scco.ling(1768)	1.scco.psyc(1572)	0.shs(1356)	1.scco.neur(701)	1.scco.comp(645)	1.shs.langue(644)
0.sde	Sciences de l'environnement	11872	0.sde	0.sde	11872	1.sde.es(4252)	0.shs(2529)	1.sde.mcg(1774)	1.shs.geo(1320)	0.sdu(1287)	1.sde.be(1265)
0.sdu	Planète et Univers [physics]	5817	0.sdu	0.sdu	5817	1.sdu.stu(4457)	0.sde(1287)	0.shs(955)	1.sde.mcg(769)	1.shs.hisphilso(376)	1.sdu.envi(316)
0.sdv	Sciences du Vivant [q-bio]	46101	0.sdv	0.sdv	46101	1.sdv.sa(7102)	1.sdv.aen(4609)	1.sdv.ida(2707)	1.sdv.ba(2590)	1.sdv.ee(2426)	1.sdv.bbm(2258)
0.shs	Sciences de l'Homme et Société	287238	0.shs	0.shs	287238	1.shs.droit(31171)	1.shs.hist(28521)	1.shs.socio(23827)	1.shs.langue(18328)	1.shs.litt(17879)	1.shs.geo(17495)
0.spi	Sciences de l'ingénieur [physics]	21188	0.phys	0.spi	21188	1.spi.meca(4535)	0.phys(3669)	1.phys.meca(3170)	1.spi.signal(2346)	0.info(2130)	1.spi.mat(1791)
0.stat	Statistiques [stat]	1650	0.math	0.stat	1650	0.math(568)	1.stat.th(552)	1.math.math-st(551)	0.shs(396)	0.info(380)	1.stat.ap(334)
0.stic	??	7	0.info								
1.chim.anal	Chimie/Chimie analytique	283	0.chim	1.chim.anal	283	0.chim(283)	0.sdv(26)	0.shs(19)	0.sde(18)	0.sdu(16)	1.shs.archeo(15)
1.chim.cata	Chimie/Catalyse	872	0.chim	1.chim.cata	872	0.chim(872)	0.sde(225)	1.sde.es(224)	1.chim.mate(13)	1.chim.theo(8)	1.chim.coor(6)
1.chim.chem	Chimie/Chemo-informatique	4	0.chim	1.chim.chem	4	0.chim(4)	0.info(4)	1.info.info-lg(3)	1.info.info-cv(1)	1.info.info-ne(1)	1.info.info-mo(1)
1.chim.coor	Chimie/Chimie de coordination	63	0.chim	1.chim.coor	63	0.chim(63)	1.chim.inor(6)	1.chim.cata(6)	1.chim.poly(2)	1.chim.mate(2)	1.chim.theo(1)
1.chim.cris	Chimie/Cristallographie	33	0.chim	1.chim.cris	33	0.chim(33)	1.phys.cond(31)	0.phys(31)	1.spi.meca(30)	0.spi(30)	1.phys.meca(29)
1.chim.geni	Chimie/Génie chimique	55	0.chim	1.chim.geni	55	0.chim(55)	1.spi.gproc(8)	0.spi(8)	0.sdv(4)	0.phys(4)	1.sde.ie(3)
1.chim.inor	Chimie/Chimie inorganique	60	0.chim	1.chim.inor	60	0.chim(60)	1.chim.mate(16)	1.phys.cond(6)	1.chim.coor(6)	0.phys(6)	0.sde(5)
1.chim.mate	Chimie/Matériaux	862	0.chim	1.chim.mate	862	0.chim(862)	0.spi(145)	1.chim.poly(107)	1.spi.mat(88)	0.phys(65)	1.phys.cond(25)
1.chim.orga	Chimie/Chimie organique	223	0.chim	1.chim.orga	223	0.chim(223)	0.phys(19)	0.sdv(18)	1.phys.phys(14)	0.shs(11)	0.sde(10)
1.chim.othe	Chimie/Autre	109	0.chim	1.chim.othe	109	0.chim(109)	0.shs(10)	1.chim.anal(8)	1.chim.mate(6)	1.shs.archeo(6)	1.shs.art(2)
1.chim.poly	Chimie/Polymères	241	0.chim	1.chim.poly	241	0.chim(241)	1.chim.mate(107)	0.spi(28)	1.spi.mat(18)	1.phys.cond(15)	0.phys(15)
1.chim.radio	Chimie/Radiochimie	10	0.chim	1.chim.radio	10	0.chim(10)	0.sde(2)	1.sde.es(2)	1.shs.geo(1)	0.shs(1)	1.chim.anal(1)
1.chim.theo	Chimie/Chimie théorique et/ou physique	248	0.chim	1.chim.theo	248	0.chim(248)	1.chim.mate(10)	0.phys(9)	1.chim.cata(8)	1.phys.phys(4)	0.spi(4)
1.chim.ther	Chimie/Chimie thérapeutique	20	0.chim	1.chim.ther	20	0.chim(20)	0.sdv(7)	1.sdv.sp(6)	0.phys(4)	1.phys.phys(4)	1.chim.orga(3)
1.info.comp	??	8	0.info	1.info.comp	8	0.info(8)	1.info.par(4)	1.info.info-dc(2)	1.info.info-ti(2)	0.math(1)	1.math.math-oc(1)
1.info.eiah	Informatique [cs]/Environnements Informatiques pour l'Apprentissage Humain	820	0.info	1.info.eiah	820	0.info(820)	0.shs(425)	1.shs.edu(363)	1.info.info-hc(72)	0.scco(70)	1.info.info-ai(64)
1.info.info-ai	Informatique [cs]/Intelligence artificielle [cs.AI]	2319	0.info	1.info.info-ai	2319	0.info(2319)	0.shs(316)	1.info.info-ts(247)	1.info.info-lg(229)	1.info.info-cv(226)	0.stat(211)
1.info.info-ao	Informatique [cs]/Arithmétique des ordinateurs	30	0.info	1.info.info-ao	30	0.info(30)	1.info.info-ar(7)	0.spi(5)	0.math(4)	1.info.info-cr(4)	1.spi.nano(4)
1.info.info-ar	Informatique [cs]/Architectures Matérielles [cs.AR]	188	0.info	1.info.info-ar	188	0.info(188)	1.info.info-es(40)	0.spi(36)	1.info.info-ni(22)	1.spi.signal(22)	1.info.info-os(19)
1.info.info-au	Informatique [cs]/Automatique	442	0.info	1.info.info-au	442	0.info(442)	0.spi(135)	1.spi.auto(62)	1.spi.signal(58)	0.math(31)	1.info.info-rb(27)
1.info.info-bi	Informatique [cs]/Bio-informatique [q-bio.QM]	242	0.info	1.info.info-bi	242	0.info(242)	0.sdv(175)	1.sdv.bibs(163)	0.stat(40)	1.stat.ap(37)	1.stat.co(32)
1.info.info-bt	Informatique [cs]/Biotechnologie	53	0.info	1.info.info-bt	53	0.info(53)	0.sdv(50)	1.sdv.bio(50)	0.spi(14)	0.shs(11)	1.spi.gproc(10)
1.info.info-cc	Informatique [cs]/Complexité [cs.CC]	197	0.info	1.info.info-cc	197	0.info(197)	1.info.info-ro(122)	1.info.info-ds(16)	0.math(11)	1.info.info-ai(8)	1.info.info-ma(6)
1.info.info-ce	Informatique [cs]/Ingénierie, finance et science [cs.CE]	38	0.info	1.info.info-ce	38	0.info(38)	1.info.info-ai(23)	1.info.info-ma(22)	0.qfin(20)	1.qfin.gn(18)	1.info.info-lo(17)
1.info.info-cg	Informatique [cs]/Géométrie algorithmique [cs.CG]	50	0.info	1.info.info-cg	50	0.info(50)	0.math(7)	1.info.info-gr(6)	1.info.info-ti(6)	1.info.info-ds(5)	1.info.info-ai(4)
1.info.info-cl	Informatique [cs]/Informatique et langage [cs.CL]	951	0.info	1.info.info-cl	951	0.info(951)	0.shs(268)	1.shs.langue(239)	1.info.info-tt(106)	1.info.info-ai(80)	0.scco(80)
1.info.info-cr	Informatique [cs]/Cryptographie et sécurité [cs.CR]	333	0.info	1.info.info-cr	333	0.info(333)	1.info.info-ni(57)	1.info.info-es(19)	0.spi(17)	0.shs(14)	0.math(13)
1.info.info-cv	Informatique [cs]/Vision par ordinateur et reconnaissance de formes [cs.CV]	859	0.info	1.info.info-cv	859	0.info(859)	1.info.info-ai(226)	1.info.info-ts(168)	1.info.info-ti(167)	0.spi(151)	1.spi.signal(146)
1.info.info-cy	Informatique [cs]/Ordinateur et société [cs.CY]	230	0.info	1.info.info-cy	230	0.info(230)	0.shs(66)	1.shs.info(24)	1.info.info-cl(17)	1.info.info-hc(14)	1.shs.edu(14)
1.info.info-db	Informatique [cs]/Base de données [cs.DB]	508	0.info	1.info.info-db	508	0.info(508)	0.shs(62)	1.info.info-ai(49)	1.info.info-ir(47)	1.info.info-wb(37)	1.info.info-ds(33)
1.info.info-dc	Informatique [cs]/Calcul parallèle, distribué et partagé [cs.DC]	406	0.info	1.info.info-dc	406	0.info(406)	1.info.info-ni(31)	1.info.info-ds(26)	1.info.info-se(16)	1.info.info-iu(13)	1.info.info-mo(12)
1.info.info-dl	Informatique [cs]/Bibliothèque électronique [cs.DL]	67	0.info	1.info.info-dl	67	0.info(67)	0.shs(20)	1.shs.info(12)	1.info.info-hc(10)	1.shs.langue(8)	1.info.info-tt(7)
1.info.info-dm	Informatique [cs]/Mathématique discrète [cs.DM]	150	0.info	1.info.info-dm	150	0.info(150)	1.info.info-ds(39)	0.math(28)	1.info.info-ro(19)	1.math.math-co(18)	1.info.info-gt(11)
1.info.info-ds	Informatique [cs]/Algorithme et structure de données [cs.DS]	438	0.info	1.info.info-ds	438	0.info(438)	1.info.info-ai(107)	1.info.info-ni(48)	1.info.info-dm(39)	1.info.info-lo(35)	1.info.info-db(33)
1.info.info-es	Informatique [cs]/Systèmes embarqués	211	0.info	1.info.info-es	211	0.info(211)	1.info.info-ar(40)	1.info.info-os(28)	1.info.info-ni(26)	0.spi(24)	1.info.info-cr(19)
1.info.info-et	Informatique [cs]/Technologies émergeantes [cs.ET]	34	0.info	1.info.info-et	34	0.info(34)	1.info.info-cy(12)	1.info.info-cl(11)	1.info.info-mo(11)	1.scco.comp(11)	0.scco(11)
1.info.info-fl	Informatique [cs]/Théorie et langage formel [cs.FL]	178	0.info	1.info.info-fl	178	0.info(178)	1.info.info-pl(142)	0.shs(141)	1.info.info-sd(141)	1.info.info-ai(140)	0.stat(139)
1.info.info-gl	Informatique [cs]/Littérature générale [cs.GL]	63	0.info	1.info.info-gl	63	0.info(63)	0.shs(19)	1.shs.litt(14)	1.shs.museo(6)	1.info.info-tt(3)	1.shs.art(2)
1.info.info-gr	Informatique [cs]/Synthèse d'image et réalité virtuelle [cs.GR]	498	0.info	1.info.info-gr	498	0.info(498)	1.info.info-mo(60)	0.shs(59)	1.info.info-hc(49)	1.info.info-cv(40)	1.info.info-ti(39)
1.info.info-gt	Informatique [cs]/Informatique et théorie des jeux [cs.GT]	66	0.info	1.info.info-gt	66	0.info(66)	1.info.info-ai(21)	1.scco.comp(21)	0.scco(21)	1.info.info-ma(20)	0.qfin(18)
1.info.info-hc	Informatique [cs]/Interface homme-machine [cs.HC]	936	0.info	1.info.info-hc	936	0.info(936)	0.shs(160)	0.scco(117)	1.info.info-cv(113)	1.info.info-ai(108)	0.spi(97)
1.info.info-ia	Informatique [cs]/Ingénierie assistée par ordinateur	158	0.info	1.info.info-ia	158	0.info(158)	0.spi(84)	1.info.info-ai(75)	0.shs(73)	1.info.info-lg(68)	1.info.info-hc(68)
1.info.info-im	Informatique [cs]/Imagerie médicale	186	0.info	1.info.info-im	186	0.info(186)	1.info.info-ts(104)	0.sdv(98)	0.spi(98)	1.spi.signal(97)	1.sdv.ib(86)
1.info.info-ir	Informatique [cs]/Recherche d'information [cs.IR]	665	0.info	1.info.info-ir	665	0.info(665)	1.info.info-tt(119)	1.info.info-ai(103)	0.shs(73)	1.info.info-wb(52)	1.info.info-cl(51)
1.info.info-it	Informatique [cs]/Théorie de l'information [cs.IT]	161	0.info	1.info.info-it	161	0.info(161)	0.math(73)	1.math.math-it(70)	1.info.info-ir(41)	1.info.info-ts(27)	0.spi(23)
1.info.info-iu	Informatique [cs]/Informatique ubiquitaire	159	0.info	1.info.info-iu	159	0.info(159)	1.info.info-mc(41)	1.info.info-se(23)	1.info.info-hc(21)	1.info.info-ni(21)	1.info.info-dc(13)
1.info.info-lg	Informatique [cs]/Apprentissage [cs.LG]	640	0.info	1.info.info-lg	640	0.info(640)	1.info.info-ai(229)	0.shs(112)	1.info.info-cv(86)	1.info.info-hc(83)	1.info.info-ts(80)
1.info.info-lo	Informatique [cs]/Logique en informatique [cs.LO]	198	0.info	1.info.info-lo	198	0.info(198)	1.info.info-ai(92)	1.info.info-cl(36)	1.info.info-ds(35)	1.info.info-lg(21)	1.info.info-ma(19)
1.info.info-ma	Informatique [cs]/Système multi-agents [cs.MA]	320	0.info	1.info.info-ma	320	0.info(320)	1.info.info-ai(103)	1.info.info-mo(54)	1.info.info-ce(22)	0.shs(21)	1.info.info-gt(20)
1.info.info-mc	Informatique [cs]/Informatique mobile	112	0.info	1.info.info-mc	112	0.info(112)	1.info.info-iu(41)	1.info.info-ni(24)	1.info.info-hc(10)	1.info.info-dc(8)	1.info.info-os(8)
1.info.info-mm	Informatique [cs]/Multimédia [cs.MM]	193	0.info	1.info.info-mm	193	0.info(193)	1.info.info-hc(89)	0.shs(88)	1.info.info-sd(82)	1.info.info-ai(79)	1.info.info-ts(75)
1.info.info-mo	Informatique [cs]/Modélisation et simulation	1406	0.info	1.info.info-mo	1406	0.info(1406)	0.spi(203)	0.shs(164)	0.sdv(139)	0.sde(106)	1.spi.signal(79)
1.info.info-ms	Informatique [cs]/Logiciel mathématique [cs.MS]	19	0.info	1.info.info-ms	19	0.info(19)	1.math.math-st(9)	0.math(9)	1.info.info-ao(2)	1.info.info-ar(2)	1.stat.ml(1)
1.info.info-na	Informatique [cs]/Analyse numérique [cs.NA]	41	0.info	1.info.info-na	41	0.info(41)	0.math(8)	0.shs(6)	1.info.info-wb(5)	0.spi(5)	1.info.info-ir(4)
1.info.info-ne	Informatique [cs]/Réseau de neurones [cs.NE]	94	0.info	1.info.info-ne	94	0.info(94)	1.info.info-ai(21)	1.info.info-lg(20)	1.info.info-ti(14)	0.scco(13)	0.spi(8)
1.info.info-ni	Informatique [cs]/Réseaux et télécommunications [cs.NI]	862	0.info	1.info.info-ni	862	0.info(862)	1.info.info-cr(57)	1.info.info-ds(48)	0.spi(36)	1.info.info-dc(31)	1.spi.signal(26)
1.info.info-oh	Informatique [cs]/Autre [cs.OH]	996	0.info	1.info.info-oh	996	0.info(996)	0.shs(98)	1.info.info-ai(77)	0.spi(75)	1.info.info-cv(71)	1.info.info-sd(71)
1.info.info-os	Informatique [cs]/Système d'exploitation [cs.OS]	94	0.info	1.info.info-os	94	0.info(94)	1.info.info-es(28)	1.info.info-ni(20)	1.info.info-ar(19)	1.info.info-cr(8)	1.info.info-mc(8)
1.info.info-pf	Informatique [cs]/Performance et fiabilité [cs.PF]	81	0.info	1.info.info-pf	81	0.info(81)	1.info.info-mo(18)	0.spi(18)	1.spi.auto(16)	1.info.info-ni(15)	1.info.info-ro(8)
1.info.info-pl	Informatique [cs]/Langage de programmation [cs.PL]	415	0.info	1.info.info-pl	415	0.info(415)	0.shs(149)	1.info.info-ai(149)	1.info.info-sd(145)	1.info.info-fl(142)	0.stat(141)
1.info.info-rb	Informatique [cs]/Robotique [cs.RO]	221	0.info	1.info.info-rb	221	0.info(221)	0.spi(45)	1.spi.auto(33)	1.info.info-au(27)	1.info.info-ai(24)	0.scco(18)
1.info.info-ro	Informatique [cs]/Recherche opérationnelle [cs.RO]	801	0.info	1.info.info-ro	801	0.info(801)	1.info.info-cc(122)	1.info.info-mo(23)	1.info.info-ai(21)	1.info.info-ds(20)	1.info.info-dm(19)
1.info.info-sc	Informatique [cs]/Calcul formel [cs.SC]	53	0.info	1.info.info-sc	53	0.info(53)	0.math(7)	1.info.info-ir(3)	1.info.info-ds(3)	1.info.info-se(2)	1.info.info-es(2)
1.info.info-sd	Informatique [cs]/Son [cs.SD]	381	0.info	1.info.info-sd	381	0.info(381)	0.shs(302)	1.shs.musiq(300)	1.info.info-ts(221)	1.info.info-ai(208)	0.spi(160)
1.info.info-se	Informatique [cs]/Génie logiciel [cs.SE]	518	0.info	1.info.info-se	518	0.info(518)	1.info.info-mo(39)	1.info.info-pl(37)	1.info.info-wb(31)	1.info.info-hc(25)	1.info.info-iu(23)
1.info.info-si	Informatique [cs]/Réseaux sociaux et d'information [cs.SI]	92	0.info	1.info.info-si	92	0.info(92)	1.info.info-wb(32)	1.info.info-ai(26)	0.shs(21)	1.info.info-tt(16)	1.shs.info(13)
1.info.info-sy	Informatique [cs]/Systèmes et contrôle [cs.SY]	57	0.info	1.info.info-sy	57	0.info(57)	0.spi(27)	1.spi.signal(21)	1.info.info-ai(11)	1.info.info-au(7)	0.math(5)
1.info.info-ti	Informatique [cs]/Traitement des images	664	0.info	1.info.info-ti	664	0.info(664)	1.info.info-cv(167)	1.info.info-ts(112)	0.spi(90)	1.spi.signal(86)	0.shs(50)
