cat_init	nom complet	total	new_cat								
1.sdu.ocean	Planète et Univers [physics]/Océan, Atmosphère	141	0.phys	1.sdu.ocean	141	0.sdu(141)	0.spi(38)	0.phys(28)	1.phys.meca(24)	0.sde(22)	1.spi.meca(21)
1.sdu.other	Planète et Univers [physics]/Autre	32	0.phys	1.sdu.other	32	0.sdu(32)	1.sdu.stu(6)	1.sdu.ocean(2)	1.shs.geo(1)	0.chim(1)	0.spi(1)
1.sdu.stu	Planète et Univers [physics]/Sciences de la Terre	5095	0.sde	1.sdu.stu	5095	0.sdu(4457)	0.sde(1165)	0.shs(924)	1.sde.mcg(685)	1.shs.hisphilso(372)	1.shs.archeo(304)
1.sdv.aen	Sciences du Vivant [q-bio]/Alimentation et Nutrition	4609	0.sdv	1.sdv.aen	4609	0.sdv(4609)	1.sdv.ida(2583)	1.sdv.bdd(1231)	1.sdv.bdlr(1218)	1.sdv.mp(117)	0.shs(94)
1.sdv.ba	Sciences du Vivant [q-bio]/Biologie animale	2599	0.sdv	1.sdv.ba	2599	0.sdv(2590)	1.sdv.bbm(1834)	1.sdv.neu(847)	1.sdv.mp(845)	1.sdv.spee(841)	1.sdv.gen(818)
1.sdv.bbm	Sciences du Vivant [q-bio]/Biochimie, Biologie Moléculaire	3362	0.sdv	1.sdv.bbm	3362	0.sdv(2258)	1.sdv.ba(1834)	1.sdv.gen(838)	1.sdv.neu(834)	1.sdv.mp(830)	1.sdv.bc(820)
1.sdv.bc	Sciences du Vivant [q-bio]/Biologie cellulaire	1715	0.sdv	1.sdv.bc	1715	0.sdv(900)	1.sdv.bbm(820)	1.sdv.neu(818)	1.sdv.imm(817)	1.sdv.mp(817)	1.sdv.gen(816)
1.sdv.bdd	Sciences du Vivant [q-bio]/Biologie du développement	1469	0.sdv	1.sdv.bdd	1469	0.sdv(1464)	1.sdv.bdlr(1281)	1.sdv.aen(1231)	1.sdv.bv(50)	1.sdv.sa(47)	1.sdv.ba(43)
1.sdv.bdlr	Sciences du Vivant [q-bio]/Biologie de la reproduction	1355	0.sdv	1.sdv.bdlr	1355	0.sdv(1352)	1.sdv.bdd(1281)	1.sdv.aen(1218)	1.sdv.ba(11)	1.sdv.bv(11)	1.sdv.ot(11)
1.sdv.bibs	Sciences du Vivant [q-bio]/Bio-Informatique, Biologie Systémique [q-bio.QM]	178	0.sdv	1.sdv.bibs	178	0.sdv(178)	0.info(169)	1.info.info-bi(163)	0.stat(38)	1.stat.ap(36)	1.stat.co(32)
1.sdv.bid	Sciences du Vivant [q-bio]/Biodiversité	678	0.sdv	1.sdv.bid	678	0.sdv(674)	1.sdv.ee(468)	1.sdv.sa(458)	1.sdv.ba(365)	0.sde(145)	0.sdu(111)
1.sdv.bio	Sciences du Vivant [q-bio]/Biotechnologies	147	0.sdv	1.sdv.bio	147	0.sdv(147)	0.info(59)	1.info.info-bt(50)	1.sdv.sa(40)	1.sdv.bv(38)	0.spi(25)
1.sdv.bv	Sciences du Vivant [q-bio]/Biologie végétale	635	0.sdv	1.sdv.bv	635	0.sdv(541)	1.sdv.sa(126)	1.sdv.bdd(50)	0.sde(40)	1.sdv.bio(38)	1.sde.be(35)
1.sdv.can	Sciences du Vivant [q-bio]/Cancer	311	0.sdv	1.sdv.can	311	0.sdv(311)	1.sdv.mhep(57)	0.shs(30)	1.sdv.ee(27)	1.sdv.spee(24)	1.sdv.ib(21)
1.sdv.ee	Sciences du Vivant [q-bio]/Ecologie, Environnement	2458	0.sdv	1.sdv.ee	2458	0.sdv(2426)	1.sdv.sa(1789)	1.sdv.bid(468)	1.sdv.ba(369)	0.sde(297)	1.sdv.spee(148)
1.sdv.eth	Sciences du Vivant [q-bio]/Ethique	215	0.sdv	1.sdv.eth	215	0.sdv(215)	0.shs(55)	1.shs.phil(31)	1.sdv.mhep(19)	1.shs.socio(10)	1.shs.anthro-se(9)
1.sdv.gen	Sciences du Vivant [q-bio]/Génétique	1616	0.sdv	1.sdv.gen	1616	0.sdv(1606)	1.sdv.bbm(838)	1.sdv.neu(830)	1.sdv.ba(818)	1.sdv.mp(818)	1.sdv.bc(816)
1.sdv.ib	Sciences du Vivant [q-bio]/Ingénierie biomédicale	527	0.sdv	1.sdv.ib	527	0.sdv(506)	0.spi(202)	0.info(165)	1.spi.signal(141)	1.info.info-ts(132)	0.phys(97)
1.sdv.ida	Sciences du Vivant [q-bio]/Ingénierie des aliments	2707	0.sdv	1.sdv.ida	2707	0.sdv(2707)	1.sdv.aen(2583)	1.sdv.mp(107)	0.spi(76)	1.spi.gproc(74)	1.sdv.sa(10)
1.sdv.imm	Sciences du Vivant [q-bio]/Immunologie	914	0.sdv	1.sdv.imm	914	0.sdv(912)	1.sdv.mp(830)	1.sdv.ba(817)	1.sdv.bc(817)	1.sdv.bbm(816)	1.sdv.spee(815)
1.sdv.mhep	Sciences du Vivant [q-bio]/Médecine humaine et pathologie	1536	0.sdv	1.sdv.mhep	1536	0.sdv(1400)	0.shs(402)	1.shs.langue(167)	1.sdv.ib(86)	1.sdv.spee(82)	0.info(76)
1.sdv.mp	Sciences du Vivant [q-bio]/Microbiologie et Parasitologie	1309	0.sdv	1.sdv.mp	1309	0.sdv(1290)	1.sdv.ba(845)	1.sdv.spee(835)	1.sdv.bbm(830)	1.sdv.imm(830)	1.sdv.gen(818)
1.sdv.neu	Sciences du Vivant [q-bio]/Neurosciences [q-bio.NC]	1916	0.sdv	1.sdv.neu	1916	0.sdv(1826)	1.sdv.ba(847)	1.sdv.bbm(834)	1.sdv.gen(830)	1.sdv.spee(826)	1.sdv.bc(818)
1.sdv.ot	Sciences du Vivant [q-bio]/Autre [q-bio.OT]	225	0.sdv	1.sdv.ot	225	0.sdv(225)	0.shs(38)	1.shs.hisphilso(19)	1.sdv.bdlr(11)	1.shs.socio(8)	1.shs.anthro-se(7)
1.sdv.sa	Sciences du Vivant [q-bio]/Sciences agricoles	7185	0.sdv	1.sdv.sa	7185	0.sdv(7102)	1.sdv.ee(1789)	1.sdv.bid(458)	1.sdv.ba(372)	0.sde(366)	0.shs(170)
1.sdv.sp	Sciences du Vivant [q-bio]/Sciences pharmaceutiques	111	0.sdv	1.sdv.sp	111	0.sdv(109)	0.shs(17)	1.sdv.spee(17)	1.sdv.mhep(16)	1.shs.droit(10)	1.sdv.neu(8)
1.sdv.spee	Sciences du Vivant [q-bio]/Santé publique et épidémiologie	2117	0.sdv	1.sdv.spee	2117	0.sdv(2117)	1.sdv.ba(841)	1.sdv.mp(835)	1.sdv.neu(826)	1.sdv.gen(816)	1.sdv.bbm(815)
1.sdv.tox	Sciences du Vivant [q-bio]/Toxicologie	326	0.sdv	1.sdv.tox	326	0.sdv(317)	0.sde(133)	1.sdv.bbm(25)	1.sdv.ee(19)	1.sdv.spee(12)	1.sdv.aen(10)
1.shs.anthro-bio	Sciences de l'Homme et Société/Anthropologie biologique	1203	1.shs.anthro	1.shs.anthro-bio	1203	0.shs(1203)	1.shs.anthro-se(189)	1.shs.socio(144)	1.shs.archeo(113)	0.sde(72)	0.sdv(60)
1.shs.anthro-se	Sciences de l'Homme et Société/Anthropologie sociale et ethnologie	7854	1.shs.anthro	1.shs.anthro-se	7854	0.shs(7854)	1.shs.socio(1458)	1.shs.hist(754)	1.shs.geo(595)	1.shs.scipo(413)	1.shs.relig(266)
1.shs.archeo	Sciences de l'Homme et Société/Archéologie et Préhistoire	14806	1.shs.archeo	1.shs.archeo	14806	0.shs(14806)	1.shs.hist(1671)	1.shs.art(741)	1.shs.archi(372)	1.shs.class(358)	0.sdu(313)
1.shs.archi	Sciences de l'Homme et Société/Architecture, aménagement de l'espace	7165	1.shs.archi	1.shs.archi	7165	0.shs(7165)	1.shs.geo(1776)	1.shs.socio(1244)	1.shs.art(886)	1.shs.hist(584)	1.shs.scipo(540)
1.shs.art	Sciences de l'Homme et Société/Art et histoire de l'art	8525	1.shs.art	1.shs.art	8525	0.shs(8525)	1.shs.hist(1515)	1.shs.archi(886)	1.shs.litt(743)	1.shs.archeo(741)	1.shs.relig(338)
1.shs.class	Sciences de l'Homme et Société/Etudes classiques	2606	1.shs.hist	1.shs.class	2606	0.shs(2606)	1.shs.hist(740)	1.shs.litt(627)	1.shs.relig(432)	1.shs.archeo(358)	1.shs.langue(205)
1.shs.demo	Sciences de l'Homme et Société/Démographie	1060	1.shs.geo	1.shs.demo	1060	0.shs(1060)	1.shs.geo(607)	1.shs.scipo(393)	1.shs.socio(122)	1.shs.anthro-se(111)	0.sde(75)
1.shs.droit	Sciences de l'Homme et Société/Droit	31171	1.shs.droit	1.shs.droit	31171	0.shs(31171)	1.shs.scipo(629)	1.shs.hist(441)	1.shs.socio(249)	1.shs.eco(225)	1.shs.relig(108)
1.shs.ec	??	25	1.shs.socio	1.shs.ec	25	0.shs(25)	1.shs.socio(1)				
1.shs.eco	Sciences de l'Homme et Société/Economies et finances	12685	1.shs.gestion	1.shs.eco	12685	0.shs(12685)	1.shs.gestion(600)	1.shs.socio(503)	1.shs.hist(331)	1.shs.geo(259)	1.shs.scipo(240)
1.shs.edu	Sciences de l'Homme et Société/Education	12191	1.shs.edu	1.shs.edu	12191	0.shs(12191)	1.shs.langue(1185)	1.shs.socio(1076)	1.shs.info(444)	0.info(402)	0.math(377)
1.shs.envir	Sciences de l'Homme et Société/Etudes de l'environnement	1818	1.shs.geo	1.shs.envir	1818	0.shs(1818)	1.shs.geo(658)	0.sde(404)	1.sde.es(314)	1.shs.archi(303)	1.shs.archeo(271)
1.shs.ergo	??	1	0.info	1.shs.ergo	1	1.info.info-se(1)	0.info(1)	1.info.info-ar(1)	1.shs.info(1)	0.shs(1)	1.info.info-hc(1)
1.shs.evolution	??	2	1.shs.gestion	1.shs.evolution	2	0.shs(2)	1.shs.eco(2)	1.shs.phil(2)			
1.shs.genre	Sciences de l'Homme et Société/Etudes sur le genre	1276	1.shs.socio	1.shs.genre	1276	0.shs(1276)	1.shs.socio(445)	1.shs.hist(280)	1.shs.litt(208)	1.shs.scipo(164)	1.shs.anthro-se(132)
1.shs.geo	Sciences de l'Homme et Société/Géographie	17495	1.shs.socio	1.shs.geo	17495	0.shs(17495)	1.shs.archi(1776)	1.shs.socio(1335)	0.sde(1320)	1.shs.scipo(1302)	1.sde.es(783)
1.shs.gestion	Sciences de l'Homme et Société/Gestion et management	13309	1.shs.gestion	1.shs.gestion	166	0.shs(166)	1.shs.droit(13)	0.sde(11)	0.info(8)	1.info.info-mo(6)	1.sdv.spee(3)
1.shs.gest-risq	??	166	1.shs.droit	1.shs.gest-risq	13309	0.shs(13289)	1.shs.eco(600)	1.shs.socio(368)	1.shs.info(161)	1.shs.scipo(140)	1.shs.geo(134)
1.shs.hisphilso	Sciences de l'Homme et Société/Histoire, Philosophie et Sociologie des sciences	5696	1.shs.phil	1.shs.hisphilso	5696	0.shs(5696)	1.shs.hist(540)	1.shs.phil(513)	0.sdu(376)	1.sdu.stu(372)	1.shs.langue(276)
1.shs.hist	Sciences de l'Homme et Société/Histoire	28521	1.shs.hist	1.shs.hist	28521	0.shs(28521)	1.shs.litt(1756)	1.shs.archeo(1671)	1.shs.art(1515)	1.shs.relig(1503)	1.shs.scipo(1139)
1.shs.info	Sciences de l'Homme et Société/Sciences de l'information et de la communication	10066	1.shs.infocom	1.shs.info	10066	0.shs(9012)	1.shs.socio(668)	1.shs.edu(444)	1.shs.langue(388)	1.shs.hist(307)	1.shs.scipo(301)
1.shs.langue	Sciences de l'Homme et Société/Linguistique	18385	1.shs.ling	1.shs.langue	18385	0.shs(18328)	1.shs.litt(1192)	1.shs.edu(1185)	0.scco(644)	1.scco.ling(530)	0.info(503)
1.shs.litt	Sciences de l'Homme et Société/Littératures	17879	1.shs.litt	1.shs.litt	17879	0.shs(17879)	1.shs.hist(1756)	1.shs.langue(1192)	1.shs.art(743)	1.shs.class(627)	1.shs.relig(555)
1.shs.museo	Sciences de l'Homme et Société/Héritage culturel et muséologie	1071	1.shs.hist	1.shs.museo	1071	0.shs(1071)	1.shs.hist(358)	1.shs.art(332)	1.shs.anthro-se(185)	1.shs.info(185)	1.shs.litt(157)
1.shs.musiq	Sciences de l'Homme et Société/Musique, musicologie et arts de la scène	3898	1.shs.art	1.shs.musiq	3898	0.shs(3898)	1.shs.litt(478)	1.shs.hist(439)	0.info(334)	1.info.info-sd(300)	1.shs.art(286)
1.shs.phil	Sciences de l'Homme et Société/Philosophie	5818	1.shs.phil	1.shs.phil	5818	0.shs(5807)	1.shs.hisphilso(513)	1.shs.litt(425)	1.shs.socio(405)	1.shs.art(334)	1.shs.relig(309)
1.shs.psy	Sciences de l'Homme et Société/Psychologie	3558	1.shs.psy	1.shs.psy	3558	0.shs(3558)	0.sdv(323)	0.scco(302)	1.shs.edu(286)	1.scco.psyc(268)	1.shs.langue(226)
1.shs.relig	Sciences de l'Homme et Société/Religions	3091	1.shs.hist	1.shs.relig	3091	0.shs(3091)	1.shs.hist(1503)	1.shs.litt(555)	1.shs.class(432)	1.shs.art(338)	1.shs.phil(309)
1.shs.scipo	Sciences de l'Homme et Société/Science politique	13308	1.shs.scipo	1.shs.scipo	13308	0.shs(13308)	1.shs.socio(4338)	1.shs.geo(1302)	1.shs.hist(1139)	1.shs.droit(629)	1.shs.archi(540)
1.shs.socio	Sciences de l'Homme et Société/Sociologie	23827	1.shs.socio	1.shs.socio	23827	0.shs(23827)	1.shs.scipo(4338)	1.shs.anthro-se(1458)	1.shs.geo(1335)	1.shs.archi(1244)	1.shs.hist(1105)
1.shs.sport	??	172	1.shs.autre	1.shs.sport	172	0.shs(99)	0.sdv(6)	0.scco(5)	1.sdv.spee(5)	1.scco.psyc(4)	1.scco.neur(3)
1.shs.stat	Sciences de l'Homme et Société/Méthodes et statistiques	811	1.shs.geo	1.shs.stat	811	0.shs(811)	1.shs.geo(200)	1.shs.langue(164)	1.shs.socio(156)	1.shs.litt(114)	0.stat(113)
1.spi.acou	Sciences de l'ingénieur [physics]/Acoustique [physics.class-ph]	1361	0.phys	1.spi.acou	1361	0.spi(1361)	0.phys(836)	1.phys.meca(830)	1.spi.signal(436)	0.scco(361)	1.scco.neur(353)
1.spi.auto	Sciences de l'ingénieur [physics]/Automatique / Robotique	1351	0.info	1.spi.auto	1351	0.spi(1351)	0.info(218)	1.spi.signal(74)	1.info.info-au(62)	1.info.info-ts(59)	1.spi.meca(42)
1.spi.elec	Sciences de l'ingénieur [physics]/Electromagnétisme	1041	0.phys	1.spi.elec	1041	0.spi(1041)	1.spi.tron(126)	0.phys(100)	0.info(71)	1.phys.cond(62)	1.spi.nrj(54)
1.spi.energ	??	110	0.phys	1.spi.energ	110	0.spi(110)	0.sde(7)	1.spi.meca(5)	0.phys(5)	1.phys.meca(4)	1.spi.mat(3)
1.spi.fluid	Sciences de l'ingénieur [physics]/Milieux fluides et réactifs	96	0.phys	1.spi.fluid	96	0.spi(96)	0.phys(19)	1.spi.meca(12)	1.phys.meca(12)	1.phys.phys(10)	1.spi.gproc(8)
1.spi.gciv	Sciences de l'ingénieur [physics]/Génie civil	625	0.phys	1.spi.gciv	625	0.spi(525)	1.spi.meca(60)	1.spi.mat(46)	0.shs(41)	0.sde(37)	0.phys(36)
1.spi.gproc	Sciences de l'ingénieur [physics]/Génie des procédés	850	0.phys	1.spi.gproc	850	0.spi(850)	0.sdv(107)	1.sdv.ida(74)	1.sdv.aen(70)	0.phys(70)	1.spi.meca(64)
1.spi.mat	Sciences de l'ingénieur [physics]/Matériaux	1791	0.phys	1.spi.mat	1791	0.spi(1791)	1.spi.meca(648)	0.phys(233)	0.chim(109)	1.phys.cond(108)	1.phys.meca(101)
1.spi.meca	Sciences de l'ingénieur [physics]/Mécanique [physics.med-ph]	4952	0.phys	1.spi.meca	4952	0.spi(4535)	0.phys(2403)	1.phys.meca(2367)	1.spi.mat(648)	0.info(170)	1.spi.acou(122)
1.spi.nano	Sciences de l'ingénieur [physics]/Micro et nanotechnologies/Microélectronique	1085	0.phys	1.spi.nano	1085	0.spi(1085)	0.info(37)	1.spi.elec(37)	1.spi.tron(36)	0.phys(24)	1.spi.mat(23)
1.spi.nrj	Sciences de l'ingénieur [physics]/Energie électrique	1144	0.phys	1.spi.nrj	1144	0.spi(1144)	0.phys(67)	1.phys.cond(57)	1.spi.elec(54)	1.spi.tron(32)	1.spi.meca(25)
1.spi.opti	Sciences de l'ingénieur [physics]/Optique / photonique	606	0.phys	1.spi.opti	606	0.spi(606)	0.phys(145)	1.phys.phys(126)	1.spi.mat(63)	0.sdv(46)	1.phys.cond(45)
1.spi.other	Sciences de l'ingénieur [physics]/Autre	882	0.phys	1.spi.other	882	0.spi(882)	0.shs(67)	0.info(61)	1.info.info-ir(25)	1.spi.meca(25)	1.info.info-tt(24)
1.spi.plasma	Sciences de l'ingénieur [physics]/Plasmas	113	0.phys	1.spi.plasma	113	0.spi(113)	0.phys(56)	1.phys.phys(39)	1.phys.cond(18)	1.spi.mat(16)	0.sdv(13)
1.spi.signal	Sciences de l'ingénieur [physics]/Traitement du signal et de l'image	2346	0.info	1.spi.signal	2346	0.spi(2346)	0.info(1626)	1.info.info-ts(1455)	1.spi.acou(436)	0.scco(376)	1.scco.neur(360)
1.spi.tron	Sciences de l'ingénieur [physics]/Electronique	815	0.phys	1.spi.tron	815	0.spi(815)	1.spi.elec(126)	1.spi.signal(86)	0.info(59)	1.spi.nano(36)	1.spi.nrj(32)
1.stat.ap	Statistiques [stat]/Applications [stat.AP]	334	0.stat	1.stat.ap	334	0.stat(334)	0.shs(130)	1.shs.stat(100)	1.shs.langue(97)	1.shs.litt(93)	0.info(87)
1.stat.co	Statistiques [stat]/Calcul [stat.CO]	72	0.stat	1.stat.co	72	0.stat(72)	1.stat.ap(41)	0.sdv(37)	0.info(35)	1.sdv.bibs(32)	1.info.info-bi(32)
1.stat.me	Statistiques [stat]/Méthodologie [stat.ME]	209	0.stat	1.stat.me	209	0.stat(209)	0.shs(74)	1.shs.edu(44)	1.stat.ap(41)	0.spi(33)	0.math(28)
1.stat.ml	Statistiques [stat]/Machine Learning [stat.ML]	296	0.stat	1.stat.ml	296	0.stat(296)	0.info(245)	1.info.info-ai(200)	0.shs(147)	1.info.info-ts(147)	1.info.info-sd(141)
1.stat.ot	Statistiques [stat]/Autres [stat.ML]	28	0.stat	1.stat.ot	28	0.stat(28)	0.shs(13)	1.shs.edu(11)	0.info(8)	1.info.info-lg(5)	0.scco(4)
1.stat.th	Statistiques [stat]/Théorie [stat.TH]	552	0.stat	1.stat.th	552	0.stat(552)	0.math(525)	1.math.math-st(524)	0.info(45)	0.shs(24)	1.stat.me(22)
